statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
73321;Turnover tax statistics (assessments);JAHR;Year;2013;DINSG;Germany;DG;Germany;4342545671;EUR 1000;STR043;Taxable supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2013;DINSG;Germany;DG;Germany;578413595;EUR 1000;STR048;Tax-ex. s. and s., input tax ded. intra-Com. sup.;e
73321;Turnover tax statistics (assessments);JAHR;Year;2013;DINSG;Germany;DG;Germany;750293059;EUR 1000;STR056;Turnover tax on supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2013;DINSG;Germany;DG;Germany;93159496;EUR 1000;STR057;Turnover tax on intra-Community acquisitions;e
73321;Turnover tax statistics (assessments);JAHR;Year;2013;DINSG;Germany;DG;Germany;1141782815;EUR 1000;STR047;Tax-exempt s. and s. with input tax deduction;e
73321;Turnover tax statistics (assessments);JAHR;Year;2013;DINSG;Germany;DG;Germany;6435280;number;STR040;Turnover taxpayers;e
73321;Turnover tax statistics (assessments);JAHR;Year;2013;DINSG;Germany;DG;Germany;3723573524;EUR 1000;STR044;Taxable supplies and services, full tax rate;e
73321;Turnover tax statistics (assessments);JAHR;Year;2013;DINSG;Germany;DG;Germany;52131363;EUR 1000;STR054;Intra-Community acquisitions, reduced tax rate;e
73321;Turnover tax statistics (assessments);JAHR;Year;2013;DINSG;Germany;DG;Germany;528356149;EUR 1000;STR052;Taxable turnover: intra-Community acquisitions;e
73321;Turnover tax statistics (assessments);JAHR;Year;2013;DINSG;Germany;DG;Germany;5969349667;EUR 1000;STR042;Taxable turnover: supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2013;DINSG;Germany;DG;Germany;6500275041;EUR 1000;STR041;Taxable turnover;e
73321;Turnover tax statistics (assessments);JAHR;Year;2013;DINSG;Germany;DG;Germany;611380908;EUR 1000;STR045;Taxable supplies and services, reduced tax rate;e
73321;Turnover tax statistics (assessments);JAHR;Year;2013;DINSG;Germany;DG;Germany;286587763;EUR 1000;STR050;Tax-exempt s. and s. without input tax deduction;e
73321;Turnover tax statistics (assessments);JAHR;Year;2013;DINSG;Germany;DG;Germany;563369220;EUR 1000;STR049;Other tax-ex. s. and s. with input tax deduction;e
73321;Turnover tax statistics (assessments);JAHR;Year;2013;DINSG;Germany;DG;Germany;1428370578;EUR 1000;STR046;Tax-exempt supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2013;DINSG;Germany;DG;Germany;800575957;EUR 1000;STR059;Deductible input tax;e
73321;Turnover tax statistics (assessments);JAHR;Year;2013;DINSG;Germany;DG;Germany;105407954;EUR 1000;STR058;Tax on turnov., S. 13b of UStG, rep. by the cust.;e
73321;Turnover tax statistics (assessments);JAHR;Year;2013;DINSG;Germany;DG;Germany;190986616;EUR 1000;STR051;Tax. turnover, S. 13b of UStG, rep. by the supp.;e
73321;Turnover tax statistics (assessments);JAHR;Year;2013;DINSG;Germany;DG;Germany;950599018;EUR 1000;STR055;Turnover tax prior to deduction of input tax;e
73321;Turnover tax statistics (assessments);JAHR;Year;2013;DINSG;Germany;DG;Germany;471079570;EUR 1000;STR053;Intra-Community acquisitions, full tax rate;e
73321;Turnover tax statistics (assessments);JAHR;Year;2012;DINSG;Germany;DG;Germany;142181458;EUR 1000;STR061;Remaining turnover tax / surplus;e
73321;Turnover tax statistics (assessments);JAHR;Year;2012;DINSG;Germany;DG;Germany;4363423021;EUR 1000;STR043;Taxable supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2012;DINSG;Germany;DG;Germany;566956678;EUR 1000;STR048;Tax-ex. s. and s., input tax ded. intra-Com. sup.;e
73321;Turnover tax statistics (assessments);JAHR;Year;2012;DINSG;Germany;DG;Germany;756868854;EUR 1000;STR056;Turnover tax on supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2012;DINSG;Germany;DG;Germany;93768436;EUR 1000;STR057;Turnover tax on intra-Community acquisitions;e
73321;Turnover tax statistics (assessments);JAHR;Year;2012;DINSG;Germany;DG;Germany;1130468049;EUR 1000;STR047;Tax-exempt s. and s. with input tax deduction;e
73321;Turnover tax statistics (assessments);JAHR;Year;2012;DINSG;Germany;DG;Germany;6339242;number;STR040;Turnover taxpayers;e
73321;Turnover tax statistics (assessments);JAHR;Year;2012;DINSG;Germany;DG;Germany;3766074013;EUR 1000;STR044;Taxable supplies and services, full tax rate;e
73321;Turnover tax statistics (assessments);JAHR;Year;2012;DINSG;Germany;DG;Germany;49696499;EUR 1000;STR054;Intra-Community acquisitions, reduced tax rate;e
73321;Turnover tax statistics (assessments);JAHR;Year;2012;DINSG;Germany;DG;Germany;530332715;EUR 1000;STR052;Taxable turnover: intra-Community acquisitions;e
73321;Turnover tax statistics (assessments);JAHR;Year;2012;DINSG;Germany;DG;Germany;5926162878;EUR 1000;STR042;Taxable turnover: supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2012;DINSG;Germany;DG;Germany;6458789883;EUR 1000;STR041;Taxable turnover;e
73321;Turnover tax statistics (assessments);JAHR;Year;2012;DINSG;Germany;DG;Germany;591783331;EUR 1000;STR045;Taxable supplies and services, reduced tax rate;e
73321;Turnover tax statistics (assessments);JAHR;Year;2012;DINSG;Germany;DG;Germany;277288307;EUR 1000;STR050;Tax-exempt s. and s. without input tax deduction;e
73321;Turnover tax statistics (assessments);JAHR;Year;2012;DINSG;Germany;DG;Germany;563511371;EUR 1000;STR049;Other tax-ex. s. and s. with input tax deduction;e
73321;Turnover tax statistics (assessments);JAHR;Year;2012;DINSG;Germany;DG;Germany;1407756356;EUR 1000;STR046;Tax-exempt supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2012;DINSG;Germany;DG;Germany;808387839;EUR 1000;STR059;Deductible input tax;e
73321;Turnover tax statistics (assessments);JAHR;Year;2012;DINSG;Germany;DG;Germany;98320738;EUR 1000;STR058;Tax on turnov., S. 13b of UStG, rep. by the cust.;e
73321;Turnover tax statistics (assessments);JAHR;Year;2012;DINSG;Germany;DG;Germany;149039924;EUR 1000;STR051;Tax. turnover, S. 13b of UStG, rep. by the supp.;e
73321;Turnover tax statistics (assessments);JAHR;Year;2012;DINSG;Germany;DG;Germany;950570012;EUR 1000;STR055;Turnover tax prior to deduction of input tax;e
73321;Turnover tax statistics (assessments);JAHR;Year;2012;DINSG;Germany;DG;Germany;475234769;EUR 1000;STR053;Intra-Community acquisitions, full tax rate;e
